financial_year,council,Estimated resident population (no.),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2022-2023,BRIMBANK CITY COUNCIL,"196,631",69932,71828,Weekly,42086.0,43500.0,Fortnightly,Yes,15869.0,"1,593.5",37.6,66.6,"48,382","53,983",82.0,"5,672.60",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3.0,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","63,949",2.9,"13,077","2,348","48,529","51,032",3.1
2018-2019,BULOKE SHIRE COUNCIL,"6,132",2609,2609,Weekly,2176.0,,,,,0.8,52.0,56.3,"40,576","46,127",62.1,186.1,52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"2,555",2.2,884,65,"1,606","1,613",2.8
2019-2020,BULOKE SHIRE COUNCIL,"6,132",2618,2615,Weekly,2164.0,,,,,0.8,52.0,56.3,"40,576","46,127",62.1,186.1,52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"2,555",2.2,884,65,"1,606","1,613",2.8
2020-2021,BULOKE SHIRE COUNCIL,"6,132",2615,2615,Weekly,2297.0,,,,,0.8,52.0,56.3,"40,576","46,127",62.1,186.1,52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"2,555",2.2,884,65,"1,606","1,613",2.8
2021-2022,BULOKE SHIRE COUNCIL,"6,132",2947,2493,Weekly,2045.9,,,,,0.8,52.0,56.3,"40,576","46,127",62.1,186.1,52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"2,555",2.2,884,65,"1,606","1,613",2.8
2022-2023,BULOKE SHIRE COUNCIL,"6,132",2665,2636,Weekly,1830.0,,,,,0.8,52.0,56.3,"40,576","46,127",62.1,186.1,52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"2,555",2.2,884,65,"1,606","1,613",2.8
2018-2019,CAMPASPE SHIRE COUNCIL,"38,556",17892,16071,Weekly,7576.0,6658.0,Fortnightly,,1109.0,8.5,46.5,58.4,"47,020","51,938",73.7,"1,125.80",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"15,079",2.4,"4,455",352,"10,273","10,459",2.9
2019-2020,CAMPASPE SHIRE COUNCIL,"38,556",17417,17925,Weekly,7443.0,7689.0,Fortnightly,Yes,3057.0,8.5,46.5,58.4,"47,020","51,938",73.7,"1,125.80",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"15,079",2.4,"4,455",352,"10,273","10,459",2.9
2020-2021,CAMPASPE SHIRE COUNCIL,"38,556",17597,18132,Weekly,7973.0,8594.0,Fortnightly,Yes,3504.0,8.5,46.5,58.4,"47,020","51,938",73.7,"1,125.80",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"15,079",2.4,"4,455",352,"10,273","10,459",2.9
2021-2022,CAMPASPE SHIRE COUNCIL,"38,556",15849,15356,Weekly,8009.18,9372.0,Fortnightly,Yes,3764.0,8.5,46.5,58.4,"47,020","51,938",73.7,"1,125.80",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"15,079",2.4,"4,455",352,"10,273","10,459",2.9
