financial_year,council,Estimated resident population (no.),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2018-2019,MANSFIELD SHIRE COUNCIL,"10,121",6228,6228,Weekly,2325.48,,,,,2.6,48.5,56.9,"41,562","50,062",65.1,280.6,40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"3,830",2.3,"1,129",76,"2,623","2,660",2.7
2019-2020,MANSFIELD SHIRE COUNCIL,"10,121",6546,6616,Weekly,2934.1,,,,,2.6,48.5,56.9,"41,562","50,062",65.1,280.6,40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"3,830",2.3,"1,129",76,"2,623","2,660",2.7
2020-2021,MANSFIELD SHIRE COUNCIL,"10,121",6671,6667,Weekly,3678.71,,,,,2.6,48.5,56.9,"41,562","50,062",65.1,280.6,40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"3,830",2.3,"1,129",76,"2,623","2,660",2.7
2021-2022,MANSFIELD SHIRE COUNCIL,"10,121",3944,3944,,2540.0,,,,,2.6,48.5,56.9,"41,562","50,062",65.1,280.6,40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"3,830",2.3,"1,129",76,"2,623","2,660",2.7
2022-2023,MANSFIELD SHIRE COUNCIL,"10,121",3950,6890,Weekly,2613.04,,,,,2.6,48.5,56.9,"41,562","50,062",65.1,280.6,40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"3,830",2.3,"1,129",76,"2,623","2,660",2.7
2018-2019,MARIBYRNONG CITY COUNCIL,"86,385",36790,36123,Weekly,18705.0,9292.0,Fortnightly,,1983.0,"2,766.5",35.3,73.7,"57,084","67,509",84.5,"3,686.10",32.2,4.0,3.1,8.0,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38.0,38.1,"-1,270","33,695",2.4,"9,996","2,490","21,213","21,616",2.9
2019-2020,MARIBYRNONG CITY COUNCIL,"86,385",36065,36065,Weekly,19054.0,9000.0,Fortnightly,Yes,2880.0,"2,766.5",35.3,73.7,"57,084","67,509",84.5,"3,686.10",32.2,4.0,3.1,8.0,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38.0,38.1,"-1,270","33,695",2.4,"9,996","2,490","21,213","21,616",2.9
2020-2021,MARIBYRNONG CITY COUNCIL,"86,385",37512,37542,Weekly,22800.0,9100.0,Fortnightly,Yes,3200.0,"2,766.5",35.3,73.7,"57,084","67,509",84.5,"3,686.10",32.2,4.0,3.1,8.0,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38.0,38.1,"-1,270","33,695",2.4,"9,996","2,490","21,213","21,616",2.9
2021-2022,MARIBYRNONG CITY COUNCIL,"86,385",36162,36162,Weekly,17880.0,21870.0,Fortnightly,Yes,5067.0,"2,766.5",35.3,73.7,"57,084","67,509",84.5,"3,686.10",32.2,4.0,3.1,8.0,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38.0,38.1,"-1,270","33,695",2.4,"9,996","2,490","21,213","21,616",2.9
2022-2023,MARIBYRNONG CITY COUNCIL,"86,385",41060,36937,Weekly,16838.35,22140.0,Fortnightly,Yes,5772.42,"2,766.5",35.3,73.7,"57,084","67,509",84.5,"3,686.10",32.2,4.0,3.1,8.0,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38.0,38.1,"-1,270","33,695",2.4,"9,996","2,490","21,213","21,616",2.9
2018-2019,MAROONDAH CITY COUNCIL,"116,075",45665,44665,Weekly,20123.0,45665.0,Fortnightly,No,12293.0,"1,890.2",39.4,64.4,"56,712","65,892",79.5,"4,454.30",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5.0,4.9,3.2,1.0,1.1,25.2,19.8,"-1,828","43,006",2.6,"10,719","1,106","31,180","31,842",3.0
2019-2020,MAROONDAH CITY COUNCIL,"116,075",45903,45903,Weekly,20145.0,45903.0,Fortnightly,No,15261.0,"1,890.2",39.4,64.4,"56,712","65,892",79.5,"4,454.30",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5.0,4.9,3.2,1.0,1.1,25.2,19.8,"-1,828","43,006",2.6,"10,719","1,106","31,180","31,842",3.0
2020-2021,MAROONDAH CITY COUNCIL,"116,075",45357,44873,Weekly,21006.0,45247.0,Fortnightly,No,15848.0,"1,890.2",39.4,64.4,"56,712","65,892",79.5,"4,454.30",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5.0,4.9,3.2,1.0,1.1,25.2,19.8,"-1,828","43,006",2.6,"10,719","1,106","31,180","31,842",3.0
2021-2022,MAROONDAH CITY COUNCIL,"116,075",45219,45219,Weekly,20611.0,45219.0,Fortnightly,No,14442.0,"1,890.2",39.4,64.4,"56,712","65,892",79.5,"4,454.30",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5.0,4.9,3.2,1.0,1.1,25.2,19.8,"-1,828","43,006",2.6,"10,719","1,106","31,180","31,842",3.0
2022-2023,MAROONDAH CITY COUNCIL,"116,075",46054,47363,Weekly,19648.0,47363.0,Fortnightly,Yes,15120.0,"1,890.2",39.4,64.4,"56,712","65,892",79.5,"4,454.30",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5.0,4.9,3.2,1.0,1.1,25.2,19.8,"-1,828","43,006",2.6,"10,719","1,106","31,180","31,842",3.0
2018-2019,MELBOURNE CITY COUNCIL,"153,110",91022,91022,Weekly,30182.69,,,,,"4,078.0",30.5,86.1,"41,393","61,030",80.4,"7,252.50",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16.0,8.5,4.4,1.7,54.7,46.0,-917,"70,760",1.8,"30,524","9,725","30,511","30,685",2.4
2019-2020,MELBOURNE CITY COUNCIL,"153,110",95560,90945,Weekly,34413.04,,,,,"4,078.0",30.5,86.1,"41,393","61,030",80.4,"7,252.50",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16.0,8.5,4.4,1.7,54.7,46.0,-917,"70,760",1.8,"30,524","9,725","30,511","30,685",2.4
2020-2021,MELBOURNE CITY COUNCIL,"153,110",102065,102065,Weekly,31836.74,8900.0,Fortnightly,Yes,28.9,"4,078.0",30.5,86.1,"41,393","61,030",80.4,"7,252.50",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16.0,8.5,4.4,1.7,54.7,46.0,-917,"70,760",1.8,"30,524","9,725","30,511","30,685",2.4
2021-2022,MELBOURNE CITY COUNCIL,"153,110",110940,110940,Weekly,29425.0,23000.0,Weekly,Yes,1500.0,"4,078.0",30.5,86.1,"41,393","61,030",80.4,"7,252.50",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16.0,8.5,4.4,1.7,54.7,46.0,-917,"70,760",1.8,"30,524","9,725","30,511","30,685",2.4
2022-2023,MELBOURNE CITY COUNCIL,"153,110",110305,100879,Weekly,29025.0,23000.0,Weekly,Yes,1795.0,"4,078.0",30.5,86.1,"41,393","61,030",80.4,"7,252.50",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16.0,8.5,4.4,1.7,54.7,46.0,-917,"70,760",1.8,"30,524","9,725","30,511","30,685",2.4
2018-2019,MELTON CITY COUNCIL,"181,346",50000,50000,Weekly,30000.0,38000.0,Fortnightly,,7000.0,343.8,33.2,66.6,"55,067","60,783",85.1,"5,314.50",48.0,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39.0,"5,248","54,907",3.1,"9,052","1,102","44,745","46,567",3.3
2019-2020,MELTON CITY COUNCIL,"181,346",57600,57600,Weekly,30252.0,37765.0,Fortnightly,,8963.0,343.8,33.2,66.6,"55,067","60,783",85.1,"5,314.50",48.0,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39.0,"5,248","54,907",3.1,"9,052","1,102","44,745","46,567",3.3
2020-2021,MELTON CITY COUNCIL,"181,346",58253,58254,Weekly,32877.0,39713.0,Fortnightly,Yes,11176.0,343.8,33.2,66.6,"55,067","60,783",85.1,"5,314.50",48.0,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39.0,"5,248","54,907",3.1,"9,052","1,102","44,745","46,567",3.3
2021-2022,MELTON CITY COUNCIL,"181,346",76140,63939,Weekly,34785.0,49516.0,Fortnightly,Yes,12262.0,343.8,33.2,66.6,"55,067","60,783",85.1,"5,314.50",48.0,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39.0,"5,248","54,907",3.1,"9,052","1,102","44,745","46,567",3.3
2022-2023,MELTON CITY COUNCIL,"181,346",66081,67913,Weekly,35386.79,53521.0,Fortnightly,Yes,12720.11,343.8,33.2,66.6,"55,067","60,783",85.1,"5,314.50",48.0,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39.0,"5,248","54,907",3.1,"9,052","1,102","44,745","46,567",3.3
2018-2019,Merri-bek City Council (former Moreland City Council),"173,500",73758,73758,Weekly,29571.15,38264.0,Fortnightly,,7770.62,"3,405.2",35.4,71.4,"57,077","66,566",82.8,"7,254.40",36.7,9.8,3.6,2.1,41.2,2.1,3.9,7.6,4.5,3.1,2.0,7.0,2.0,0.8,32.9,34.5,"-2,946","67,871",2.4,"20,051","5,474","42,343","43,053",2.9
2019-2020,Merri-bek City Council (former Moreland City Council),"173,500",76117,76117,Weekly,29456.01,41341.0,Fortnightly,Yes,11800.0,"3,405.2",35.4,71.4,"57,077","66,566",82.8,"7,254.40",36.7,9.8,3.6,2.1,41.2,2.1,3.9,7.6,4.5,3.1,2.0,7.0,2.0,0.8,32.9,34.5,"-2,946","67,871",2.4,"20,051","5,474","42,343","43,053",2.9
2020-2021,Merri-bek City Council (former Moreland City Council),"173,500",69033,69033,Weekly,29870.96,51774.0,Fortnightly,Yes,13052.14,"3,405.2",35.4,71.4,"57,077","66,566",82.8,"7,254.40",36.7,9.8,3.6,2.1,41.2,2.1,3.9,7.6,4.5,3.1,2.0,7.0,2.0,0.8,32.9,34.5,"-2,946","67,871",2.4,"20,051","5,474","42,343","43,053",2.9
2021-2022,Merri-bek City Council (former Moreland City Council),"173,500",78670,69554,Weekly,29637.43,66398.0,Fortnightly,Yes,12942.52,"3,405.2",35.4,71.4,"57,077","66,566",82.8,"7,254.40",36.7,9.8,3.6,2.1,41.2,2.1,3.9,7.6,4.5,3.1,2.0,7.0,2.0,0.8,32.9,34.5,"-2,946","67,871",2.4,"20,051","5,474","42,343","43,053",2.9
2022-2023,Merri-bek City Council (former Moreland City Council),"173,500",76796,69817,Weekly,28581.89,69813.0,Fortnightly,Yes,13173.41,"3,405.2",35.4,71.4,"57,077","66,566",82.8,"7,254.40",36.7,9.8,3.6,2.1,41.2,2.1,3.9,7.6,4.5,3.1,2.0,7.0,2.0,0.8,32.9,34.5,"-2,946","67,871",2.4,"20,051","5,474","42,343","43,053",2.9
2018-2019,MILDURA RURAL CITY COUNCIL,"56,966",23778,23778,Weekly,11792.42,,,,,2.6,40.0,62.1,"43,068","48,518",79.2,"1,651.60",42.4,2.1,0.7,1.9,42.7,1.6,2.1,1.6,0.8,3.8,0.9,2.0,0.2,0.7,13.6,12.3,-597,"21,283",2.4,"6,177",689,"14,414","14,729",2.9
2019-2020,MILDURA RURAL CITY COUNCIL,"56,966",23810,23810,Weekly,14012.66,,,,,2.6,40.0,62.1,"43,068","48,518",79.2,"1,651.60",42.4,2.1,0.7,1.9,42.7,1.6,2.1,1.6,0.8,3.8,0.9,2.0,0.2,0.7,13.6,12.3,-597,"21,283",2.4,"6,177",689,"14,414","14,729",2.9
2020-2021,MILDURA RURAL CITY COUNCIL,"56,966",24058,26247,Fortnightly,6012.96,26247.0,Weekly,Yes,11553.21,2.6,40.0,62.1,"43,068","48,518",79.2,"1,651.60",42.4,2.1,0.7,1.9,42.7,1.6,2.1,1.6,0.8,3.8,0.9,2.0,0.2,0.7,13.6,12.3,-597,"21,283",2.4,"6,177",689,"14,414","14,729",2.9
2021-2022,MILDURA RURAL CITY COUNCIL,"56,966",25294,24319,Fortnightly,5316.0,24319.0,Weekly,Yes,13028.56,2.6,40.0,62.1,"43,068","48,518",79.2,"1,651.60",42.4,2.1,0.7,1.9,42.7,1.6,2.1,1.6,0.8,3.8,0.9,2.0,0.2,0.7,13.6,12.3,-597,"21,283",2.4,"6,177",689,"14,414","14,729",2.9
2022-2023,MILDURA RURAL CITY COUNCIL,"56,966",21820,24562,Fortnightly,5872.28,24562.0,Weekly,Yes,12533.08,2.6,40.0,62.1,"43,068","48,518",79.2,"1,651.60",42.4,2.1,0.7,1.9,42.7,1.6,2.1,1.6,0.8,3.8,0.9,2.0,0.2,0.7,13.6,12.3,-597,"21,283",2.4,"6,177",689,"14,414","14,729",2.9
2018-2019,MITCHELL SHIRE COUNCIL,"49,712",21069,21069,Weekly,8252.44,,,,,17.4,36.6,64.3,"54,704","60,707",82.3,"1,561.40",43.4,1.6,1.3,0.8,42.6,1.7,4.0,1.7,0.7,1.5,0.5,3.2,0.4,0.8,14.6,11.4,"1,269","17,140",2.7,"3,780",352,"13,008","13,404",3.1
2019-2020,MITCHELL SHIRE COUNCIL,"49,712",19997,16428,Weekly,9122.85,,,,,17.4,36.6,64.3,"54,704","60,707",82.3,"1,561.40",43.4,1.6,1.3,0.8,42.6,1.7,4.0,1.7,0.7,1.5,0.5,3.2,0.4,0.8,14.6,11.4,"1,269","17,140",2.7,"3,780",352,"13,008","13,404",3.1
2020-2021,MITCHELL SHIRE COUNCIL,"49,712",22372,18780,Weekly,10218.02,,,,,17.4,36.6,64.3,"54,704","60,707",82.3,"1,561.40",43.4,1.6,1.3,0.8,42.6,1.7,4.0,1.7,0.7,1.5,0.5,3.2,0.4,0.8,14.6,11.4,"1,269","17,140",2.7,"3,780",352,"13,008","13,404",3.1
2021-2022,MITCHELL SHIRE COUNCIL,"49,712",21817,17615,Weekly,10311.94,,,,,17.4,36.6,64.3,"54,704","60,707",82.3,"1,561.40",43.4,1.6,1.3,0.8,42.6,1.7,4.0,1.7,0.7,1.5,0.5,3.2,0.4,0.8,14.6,11.4,"1,269","17,140",2.7,"3,780",352,"13,008","13,404",3.1
2022-2023,MITCHELL SHIRE COUNCIL,"49,712",17181,18584,Weekly,10273.0,,,,,17.4,36.6,64.3,"54,704","60,707",82.3,"1,561.40",43.4,1.6,1.3,0.8,42.6,1.7,4.0,1.7,0.7,1.5,0.5,3.2,0.4,0.8,14.6,11.4,"1,269","17,140",2.7,"3,780",352,"13,008","13,404",3.1
2018-2019,MOIRA SHIRE COUNCIL,"30,367",14479,12500,Weekly,4503.0,8364.0,Fortnightly,Yes,2368.0,7.5,48.1,56.2,"45,447","50,184",72.8,811.4,51.1,0.7,0.3,0.9,37.7,1.3,3.5,1.1,0.2,2.0,0.4,0.8,0.3,0.2,9.9,5.2,76,"11,917",2.3,"3,579",326,"8,013","8,172",2.8
2019-2020,MOIRA SHIRE COUNCIL,"30,367",14078,14002,Weekly,4527.0,10534.0,Fortnightly,Yes,3348.0,7.5,48.1,56.2,"45,447","50,184",72.8,811.4,51.1,0.7,0.3,0.9,37.7,1.3,3.5,1.1,0.2,2.0,0.4,0.8,0.3,0.2,9.9,5.2,76,"11,917",2.3,"3,579",326,"8,013","8,172",2.8
2020-2021,MOIRA SHIRE COUNCIL,"30,367",15000,14000,Weekly,4830.0,12000.0,Fortnightly,Yes,3711.0,7.5,48.1,56.2,"45,447","50,184",72.8,811.4,51.1,0.7,0.3,0.9,37.7,1.3,3.5,1.1,0.2,2.0,0.4,0.8,0.3,0.2,9.9,5.2,76,"11,917",2.3,"3,579",326,"8,013","8,172",2.8
2021-2022,MOIRA SHIRE COUNCIL,"30,367",12172,11079,Weekly,4920.1,10511.0,Fortnightly,Yes,4061.92,7.5,48.1,56.2,"45,447","50,184",72.8,811.4,51.1,0.7,0.3,0.9,37.7,1.3,3.5,1.1,0.2,2.0,0.4,0.8,0.3,0.2,9.9,5.2,76,"11,917",2.3,"3,579",326,"8,013","8,172",2.8
2022-2023,MOIRA SHIRE COUNCIL,"30,367",10943,12384,Weekly,4807.0,10957.0,Fortnightly,Yes,3646.26,7.5,48.1,56.2,"45,447","50,184",72.8,811.4,51.1,0.7,0.3,0.9,37.7,1.3,3.5,1.1,0.2,2.0,0.4,0.8,0.3,0.2,9.9,5.2,76,"11,917",2.3,"3,579",326,"8,013","8,172",2.8
2018-2019,MONASH CITY COUNCIL,"192,893",72485,69266,Weekly,31697.0,62780.0,Fortnightly,No,17279.0,"2,367.3",38.0,66.4,"51,173","63,721",72.8,"7,230.60",39.3,2.7,7.5,7.2,35.8,1.3,3.0,5.6,1.9,8.7,15.2,12.4,1.1,1.2,50.3,52.0,"-2,454","66,979",2.7,"14,109","3,868","48,995","50,528",3.0
2019-2020,MONASH CITY COUNCIL,"192,893",75024,78385,Weekly,34777.0,67000.0,Fortnightly,No,21273.0,"2,367.3",38.0,66.4,"51,173","63,721",72.8,"7,230.60",39.3,2.7,7.5,7.2,35.8,1.3,3.0,5.6,1.9,8.7,15.2,12.4,1.1,1.2,50.3,52.0,"-2,454","66,979",2.7,"14,109","3,868","48,995","50,528",3.0
2020-2021,MONASH CITY COUNCIL,"192,893",75024,83577,Weekly,33336.0,65000.0,Fortnightly,Yes,24690.0,"2,367.3",38.0,66.4,"51,173","63,721",72.8,"7,230.60",39.3,2.7,7.5,7.2,35.8,1.3,3.0,5.6,1.9,8.7,15.2,12.4,1.1,1.2,50.3,52.0,"-2,454","66,979",2.7,"14,109","3,868","48,995","50,528",3.0
2021-2022,MONASH CITY COUNCIL,"192,893",81723,70023,Weekly,34868.65,64354.0,Fortnightly,Yes,23471.0,"2,367.3",38.0,66.4,"51,173","63,721",72.8,"7,230.60",39.3,2.7,7.5,7.2,35.8,1.3,3.0,5.6,1.9,8.7,15.2,12.4,1.1,1.2,50.3,52.0,"-2,454","66,979",2.7,"14,109","3,868","48,995","50,528",3.0
2022-2023,MONASH CITY COUNCIL,"192,893",74981,69466,Fortnightly,23530.0,65230.0,Weekly,Yes,31565.0,"2,367.3",38.0,66.4,"51,173","63,721",72.8,"7,230.60",39.3,2.7,7.5,7.2,35.8,1.3,3.0,5.6,1.9,8.7,15.2,12.4,1.1,1.2,50.3,52.0,"-2,454","66,979",2.7,"14,109","3,868","48,995","50,528",3.0
2018-2019,MOONEE VALLEY CITY COUNCIL,"122,950",54397,47705,Weekly,24081.0,30575.0,Fortnightly,Yes,6917.78,"2,850.1",39.3,66.9,"61,287","75,240",77.8,"6,036.90",53.7,3.4,2.3,2.5,32.3,1.4,3.4,7.4,2.2,4.3,2.2,3.7,1.7,1.4,27.8,28.2,"-1,846","47,814",2.4,"13,958","1,920","31,933","32,394",3.0
2019-2020,MOONEE VALLEY CITY COUNCIL,"122,950",50907,48000,Weekly,25807.0,31000.0,Fortnightly,Yes,9876.0,"2,850.1",39.3,66.9,"61,287","75,240",77.8,"6,036.90",53.7,3.4,2.3,2.5,32.3,1.4,3.4,7.4,2.2,4.3,2.2,3.7,1.7,1.4,27.8,28.2,"-1,846","47,814",2.4,"13,958","1,920","31,933","32,394",3.0
2020-2021,MOONEE VALLEY CITY COUNCIL,"122,950",51142,51142,Weekly,24650.0,32000.0,Fortnightly,Yes,9100.0,"2,850.1",39.3,66.9,"61,287","75,240",77.8,"6,036.90",53.7,3.4,2.3,2.5,32.3,1.4,3.4,7.4,2.2,4.3,2.2,3.7,1.7,1.4,27.8,28.2,"-1,846","47,814",2.4,"13,958","1,920","31,933","32,394",3.0
2021-2022,MOONEE VALLEY CITY COUNCIL,"122,950",51547,51247,Weekly,24692.0,32000.0,Fortnightly,Yes,9429.0,"2,850.1",39.3,66.9,"61,287","75,240",77.8,"6,036.90",53.7,3.4,2.3,2.5,32.3,1.4,3.4,7.4,2.2,4.3,2.2,3.7,1.7,1.4,27.8,28.2,"-1,846","47,814",2.4,"13,958","1,920","31,933","32,394",3.0
2022-2023,MOONEE VALLEY CITY COUNCIL,"122,950",55502,51948,Weekly,22051.77,33590.0,Fortnightly,Yes,9226.0,"2,850.1",39.3,66.9,"61,287","75,240",77.8,"6,036.90",53.7,3.4,2.3,2.5,32.3,1.4,3.4,7.4,2.2,4.3,2.2,3.7,1.7,1.4,27.8,28.2,"-1,846","47,814",2.4,"13,958","1,920","31,933","32,394",3.0
2018-2019,MOORABOOL SHIRE COUNCIL,"37,910",13121,13487,Weekly,6171.19,2392.0,Fortnightly,No,687.06,18.0,39.1,63.0,"57,005","64,434",80.1,"1,320.90",43.8,0.6,1.0,0.6,45.9,1.6,5.5,2.1,0.2,1.0,0.3,2.4,0.7,0.6,14.2,7.8,617,"13,500",2.6,"3,085",256,"10,160","10,421",3.0
2019-2020,MOORABOOL SHIRE COUNCIL,"37,910",15900,15900,Weekly,7077.57,3173.0,Fortnightly,No,1162.36,18.0,39.1,63.0,"57,005","64,434",80.1,"1,320.90",43.8,0.6,1.0,0.6,45.9,1.6,5.5,2.1,0.2,1.0,0.3,2.4,0.7,0.6,14.2,7.8,617,"13,500",2.6,"3,085",256,"10,160","10,421",3.0
2020-2021,MOORABOOL SHIRE COUNCIL,"37,910",14599,14599,Weekly,7360.91,4775.0,Fortnightly,No,1509.18,18.0,39.1,63.0,"57,005","64,434",80.1,"1,320.90",43.8,0.6,1.0,0.6,45.9,1.6,5.5,2.1,0.2,1.0,0.3,2.4,0.7,0.6,14.2,7.8,617,"13,500",2.6,"3,085",256,"10,160","10,421",3.0
2021-2022,MOORABOOL SHIRE COUNCIL,"37,910",16992,14992,Weekly,7430.0,4666.0,Fortnightly,No,1948.0,18.0,39.1,63.0,"57,005","64,434",80.1,"1,320.90",43.8,0.6,1.0,0.6,45.9,1.6,5.5,2.1,0.2,1.0,0.3,2.4,0.7,0.6,14.2,7.8,617,"13,500",2.6,"3,085",256,"10,160","10,421",3.0
2022-2023,MOORABOOL SHIRE COUNCIL,"37,910",12601,14993,Weekly,7287.0,5242.0,Fortnightly,No,1786.0,18.0,39.1,63.0,"57,005","64,434",80.1,"1,320.90",43.8,0.6,1.0,0.6,45.9,1.6,5.5,2.1,0.2,1.0,0.3,2.4,0.7,0.6,14.2,7.8,617,"13,500",2.6,"3,085",256,"10,160","10,421",3.0
2018-2019,MORNINGTON PENINSULA SHIRE COUNCIL,"170,440",91307,91307,Weekly,31049.41,37103.0,Fortnightly,,13217.0,235.4,48.1,56.7,"50,063","62,531",67.9,"6,333.70",42.2,0.2,0.2,0.7,49.1,1.5,10.2,2.2,0.3,0.9,0.4,0.5,0.9,0.7,17.6,5.4,420,"64,650",2.4,"17,727","1,190","45,733","46,625",2.9
2019-2020,MORNINGTON PENINSULA SHIRE COUNCIL,"170,440",92316,92316,Weekly,32021.0,40919.0,Fortnightly,,16650.77,235.4,48.1,56.7,"50,063","62,531",67.9,"6,333.70",42.2,0.2,0.2,0.7,49.1,1.5,10.2,2.2,0.3,0.9,0.4,0.5,0.9,0.7,17.6,5.4,420,"64,650",2.4,"17,727","1,190","45,733","46,625",2.9
2020-2021,MORNINGTON PENINSULA SHIRE COUNCIL,"170,440",92538,93092,Weekly,33948.5,45646.0,Fortnightly,,18168.75,235.4,48.1,56.7,"50,063","62,531",67.9,"6,333.70",42.2,0.2,0.2,0.7,49.1,1.5,10.2,2.2,0.3,0.9,0.4,0.5,0.9,0.7,17.6,5.4,420,"64,650",2.4,"17,727","1,190","45,733","46,625",2.9
2021-2022,MORNINGTON PENINSULA SHIRE COUNCIL,"170,440",95779,93527,Weekly,31954.0,50095.0,Fortnightly,Yes,20823.95,235.4,48.1,56.7,"50,063","62,531",67.9,"6,333.70",42.2,0.2,0.2,0.7,49.1,1.5,10.2,2.2,0.3,0.9,0.4,0.5,0.9,0.7,17.6,5.4,420,"64,650",2.4,"17,727","1,190","45,733","46,625",2.9
2022-2023,MORNINGTON PENINSULA SHIRE COUNCIL,"170,440",88632,93587,Weekly,30431.01,53506.0,Fortnightly,Yes,21659.64,235.4,48.1,56.7,"50,063","62,531",67.9,"6,333.70",42.2,0.2,0.2,0.7,49.1,1.5,10.2,2.2,0.3,0.9,0.4,0.5,0.9,0.7,17.6,5.4,420,"64,650",2.4,"17,727","1,190","45,733","46,625",2.9
2018-2019,MOUNT ALEXANDER SHIRE COUNCIL,"20,114",9464,7982,Weekly,3097.14,,,,,13.1,50.8,57.8,"48,211","55,507",67.3,562.5,27.2,0.2,0.2,1.0,58.8,1.6,6.4,0.9,0.4,0.9,0.4,0.5,0.9,0.5,12.4,3.3,263,"8,396",2.2,"2,785",239,"5,369","5,449",2.7
2019-2020,MOUNT ALEXANDER SHIRE COUNCIL,"20,114",9144,7929,Weekly,3184.44,,,,,13.1,50.8,57.8,"48,211","55,507",67.3,562.5,27.2,0.2,0.2,1.0,58.8,1.6,6.4,0.9,0.4,0.9,0.4,0.5,0.9,0.5,12.4,3.3,263,"8,396",2.2,"2,785",239,"5,369","5,449",2.7
2020-2021,MOUNT ALEXANDER SHIRE COUNCIL,"20,114",9639,8245,Weekly,3400.36,,,,,13.1,50.8,57.8,"48,211","55,507",67.3,562.5,27.2,0.2,0.2,1.0,58.8,1.6,6.4,0.9,0.4,0.9,0.4,0.5,0.9,0.5,12.4,3.3,263,"8,396",2.2,"2,785",239,"5,369","5,449",2.7
2021-2022,MOUNT ALEXANDER SHIRE COUNCIL,"20,114",9363,8433,Weekly,3358.1,,,,,13.1,50.8,57.8,"48,211","55,507",67.3,562.5,27.2,0.2,0.2,1.0,58.8,1.6,6.4,0.9,0.4,0.9,0.4,0.5,0.9,0.5,12.4,3.3,263,"8,396",2.2,"2,785",239,"5,369","5,449",2.7
2022-2023,MOUNT ALEXANDER SHIRE COUNCIL,"20,114",9626,8500,Weekly,3228.0,,,,,13.1,50.8,57.8,"48,211","55,507",67.3,562.5,27.2,0.2,0.2,1.0,58.8,1.6,6.4,0.9,0.4,0.9,0.4,0.5,0.9,0.5,12.4,3.3,263,"8,396",2.2,"2,785",239,"5,369","5,449",2.7
