financial_year_waste,council,topology,Median age - persons (years),Average household size (no. of persons),Estimated resident population (no.),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes
2022-2023,Moonee Valley City Council,Metropolitan Suburb,39.3,2.4,"122,950",53.7,3.4,2.3,2.5,32.3,1.4,3.4,7.4,2.2,4.3,2.2,3.7,1.7,1.4,27.8,28.2,"-1,846","61,287","75,240",77.8,"6,036.90",55502,51948,Weekly,22051.77,33590.0,Fortnightly,Yes,9226.0
2018-2019,Moorabool Shire Council,Peri-Urban Area,39.1,2.6,"37,910",43.8,0.6,1.0,0.6,45.9,1.6,5.5,2.1,0.2,1.0,0.3,2.4,0.7,0.6,14.2,7.8,617,"57,005","64,434",80.1,"1,320.90",13121,13487,Weekly,6171.19,2392.0,Fortnightly,No,687.06
2019-2020,Moorabool Shire Council,Peri-Urban Area,39.1,2.6,"37,910",43.8,0.6,1.0,0.6,45.9,1.6,5.5,2.1,0.2,1.0,0.3,2.4,0.7,0.6,14.2,7.8,617,"57,005","64,434",80.1,"1,320.90",15900,15900,Weekly,7077.57,3173.0,Fortnightly,No,1162.36
2020-2021,Moorabool Shire Council,Peri-Urban Area,39.1,2.6,"37,910",43.8,0.6,1.0,0.6,45.9,1.6,5.5,2.1,0.2,1.0,0.3,2.4,0.7,0.6,14.2,7.8,617,"57,005","64,434",80.1,"1,320.90",14599,14599,Weekly,7360.91,4775.0,Fortnightly,No,1509.18
2021-2022,Moorabool Shire Council,Peri-Urban Area,39.1,2.6,"37,910",43.8,0.6,1.0,0.6,45.9,1.6,5.5,2.1,0.2,1.0,0.3,2.4,0.7,0.6,14.2,7.8,617,"57,005","64,434",80.1,"1,320.90",16992,14992,Weekly,7430.0,4666.0,Fortnightly,No,1948.0
2022-2023,Moorabool Shire Council,Peri-Urban Area,39.1,2.6,"37,910",43.8,0.6,1.0,0.6,45.9,1.6,5.5,2.1,0.2,1.0,0.3,2.4,0.7,0.6,14.2,7.8,617,"57,005","64,434",80.1,"1,320.90",12601,14993,Weekly,7287.0,5242.0,Fortnightly,No,1786.0
2018-2019,Mornington Peninsula Shire Council,Peri-Urban Area,48.1,2.4,"170,440",42.2,0.2,0.2,0.7,49.1,1.5,10.2,2.2,0.3,0.9,0.4,0.5,0.9,0.7,17.6,5.4,420,"50,063","62,531",67.9,"6,333.70",91307,91307,Weekly,31049.41,37103.0,Fortnightly,,13217.0
2019-2020,Mornington Peninsula Shire Council,Peri-Urban Area,48.1,2.4,"170,440",42.2,0.2,0.2,0.7,49.1,1.5,10.2,2.2,0.3,0.9,0.4,0.5,0.9,0.7,17.6,5.4,420,"50,063","62,531",67.9,"6,333.70",92316,92316,Weekly,32021.0,40919.0,Fortnightly,,16650.77
2020-2021,Mornington Peninsula Shire Council,Peri-Urban Area,48.1,2.4,"170,440",42.2,0.2,0.2,0.7,49.1,1.5,10.2,2.2,0.3,0.9,0.4,0.5,0.9,0.7,17.6,5.4,420,"50,063","62,531",67.9,"6,333.70",92538,93092,Weekly,33948.5,45646.0,Fortnightly,,18168.75
2021-2022,Mornington Peninsula Shire Council,Peri-Urban Area,48.1,2.4,"170,440",42.2,0.2,0.2,0.7,49.1,1.5,10.2,2.2,0.3,0.9,0.4,0.5,0.9,0.7,17.6,5.4,420,"50,063","62,531",67.9,"6,333.70",95779,93527,Weekly,31954.0,50095.0,Fortnightly,Yes,20823.95
2022-2023,Mornington Peninsula Shire Council,Peri-Urban Area,48.1,2.4,"170,440",42.2,0.2,0.2,0.7,49.1,1.5,10.2,2.2,0.3,0.9,0.4,0.5,0.9,0.7,17.6,5.4,420,"50,063","62,531",67.9,"6,333.70",88632,93587,Weekly,30431.01,53506.0,Fortnightly,Yes,21659.64
2018-2019,Mount Alexander Shire Council,Rural Area,50.8,2.2,"20,114",27.2,0.2,0.2,1.0,58.8,1.6,6.4,0.9,0.4,0.9,0.4,0.5,0.9,0.5,12.4,3.3,263,"48,211","55,507",67.3,562.5,9464,7982,Weekly,3097.14,,,,
2019-2020,Mount Alexander Shire Council,Rural Area,50.8,2.2,"20,114",27.2,0.2,0.2,1.0,58.8,1.6,6.4,0.9,0.4,0.9,0.4,0.5,0.9,0.5,12.4,3.3,263,"48,211","55,507",67.3,562.5,9144,7929,Weekly,3184.44,,,,
2020-2021,Mount Alexander Shire Council,Rural Area,50.8,2.2,"20,114",27.2,0.2,0.2,1.0,58.8,1.6,6.4,0.9,0.4,0.9,0.4,0.5,0.9,0.5,12.4,3.3,263,"48,211","55,507",67.3,562.5,9639,8245,Weekly,3400.36,,,,
2021-2022,Mount Alexander Shire Council,Rural Area,50.8,2.2,"20,114",27.2,0.2,0.2,1.0,58.8,1.6,6.4,0.9,0.4,0.9,0.4,0.5,0.9,0.5,12.4,3.3,263,"48,211","55,507",67.3,562.5,9363,8433,Weekly,3358.1,,,,
2022-2023,Mount Alexander Shire Council,Rural Area,50.8,2.2,"20,114",27.2,0.2,0.2,1.0,58.8,1.6,6.4,0.9,0.4,0.9,0.4,0.5,0.9,0.5,12.4,3.3,263,"48,211","55,507",67.3,562.5,9626,8500,Weekly,3228.0,,,,
2018-2019,Moyne Shire Council,Rural Area,44.5,2.5,"17,296",49.3,0.1,0.1,0.4,41.7,1.7,3.4,0.2,0.1,0.9,0.2,0.2,0.4,0.4,7.4,2.2,132,"45,286","51,748",64.4,600.5,8500,5700,Weekly,2084.77,5900.0,Fortnightly,Yes,1937.56
2019-2020,Moyne Shire Council,Rural Area,44.5,2.5,"17,296",49.3,0.1,0.1,0.4,41.7,1.7,3.4,0.2,0.1,0.9,0.2,0.2,0.4,0.4,7.4,2.2,132,"45,286","51,748",64.4,600.5,8273,5896,Weekly,2139.0,5896.0,Fortnightly,Yes,2177.0
2020-2021,Moyne Shire Council,Rural Area,44.5,2.5,"17,296",49.3,0.1,0.1,0.4,41.7,1.7,3.4,0.2,0.1,0.9,0.2,0.2,0.4,0.4,7.4,2.2,132,"45,286","51,748",64.4,600.5,8238,6088,Weekly,2293.86,6088.0,Fortnightly,Yes,2464.98
2021-2022,Moyne Shire Council,Rural Area,44.5,2.5,"17,296",49.3,0.1,0.1,0.4,41.7,1.7,3.4,0.2,0.1,0.9,0.2,0.2,0.4,0.4,7.4,2.2,132,"45,286","51,748",64.4,600.5,4566,6270,Weekly,2360.5,6270.0,Fortnightly,Yes,2299.36
2022-2023,Moyne Shire Council,Rural Area,44.5,2.5,"17,296",49.3,0.1,0.1,0.4,41.7,1.7,3.4,0.2,0.1,0.9,0.2,0.2,0.4,0.4,7.4,2.2,132,"45,286","51,748",64.4,600.5,6429,6037,Weekly,2226.2,6037.0,Fortnightly,Yes,2437.14
2018-2019,Murrindindi Shire Council,Rural Area,50.2,2.3,"15,139",37.5,0.2,0.1,0.8,50.1,1.4,5.7,1.2,0.2,0.8,0.2,0.7,0.6,0.5,11.3,3.7,243,"47,170","55,385",69.3,434.6,6668,6501,Weekly,2629.86,,,,
2019-2020,Murrindindi Shire Council,Rural Area,50.2,2.3,"15,139",37.5,0.2,0.1,0.8,50.1,1.4,5.7,1.2,0.2,0.8,0.2,0.7,0.6,0.5,11.3,3.7,243,"47,170","55,385",69.3,434.6,6592,6592,Weekly,2734.0,,,,
2020-2021,Murrindindi Shire Council,Rural Area,50.2,2.3,"15,139",37.5,0.2,0.1,0.8,50.1,1.4,5.7,1.2,0.2,0.8,0.2,0.7,0.6,0.5,11.3,3.7,243,"47,170","55,385",69.3,434.6,6767,6661,Weekly,2874.26,,,,
2021-2022,Murrindindi Shire Council,Rural Area,50.2,2.3,"15,139",37.5,0.2,0.1,0.8,50.1,1.4,5.7,1.2,0.2,0.8,0.2,0.7,0.6,0.5,11.3,3.7,243,"47,170","55,385",69.3,434.6,6112,6842,Weekly,2935.0,,,,
2022-2023,Murrindindi Shire Council,Rural Area,50.2,2.3,"15,139",37.5,0.2,0.1,0.8,50.1,1.4,5.7,1.2,0.2,0.8,0.2,0.7,0.6,0.5,11.3,3.7,243,"47,170","55,385",69.3,434.6,5187,7000,Weekly,2895.83,,,,
2018-2019,Nillumbik Shire Council,Peri-Urban Area,42.3,2.9,"63,450",42.6,0.8,0.6,1.0,50.1,1.2,6.5,2.5,1.0,1.2,1.2,1.0,1.0,0.8,16.3,9.6,-648,"59,749","74,166",74.4,"3,054.30",22026,22026,Fortnightly,8059.0,22026.0,Weekly,Yes,6234.0
2019-2020,Nillumbik Shire Council,Peri-Urban Area,42.3,2.9,"63,450",42.6,0.8,0.6,1.0,50.1,1.2,6.5,2.5,1.0,1.2,1.2,1.0,1.0,0.8,16.3,9.6,-648,"59,749","74,166",74.4,"3,054.30",22100,22100,Fortnightly,9132.0,22100.0,Weekly,Yes,8135.0
2020-2021,Nillumbik Shire Council,Peri-Urban Area,42.3,2.9,"63,450",42.6,0.8,0.6,1.0,50.1,1.2,6.5,2.5,1.0,1.2,1.2,1.0,1.0,0.8,16.3,9.6,-648,"59,749","74,166",74.4,"3,054.30",22772,22272,Fortnightly,6758.0,22772.0,Weekly,Yes,10901.0
2021-2022,Nillumbik Shire Council,Peri-Urban Area,42.3,2.9,"63,450",42.6,0.8,0.6,1.0,50.1,1.2,6.5,2.5,1.0,1.2,1.2,1.0,1.0,0.8,16.3,9.6,-648,"59,749","74,166",74.4,"3,054.30",22229,22299,Fortnightly,8530.0,22299.0,Weekly,Yes,10670.0
2022-2023,Nillumbik Shire Council,Peri-Urban Area,42.3,2.9,"63,450",42.6,0.8,0.6,1.0,50.1,1.2,6.5,2.5,1.0,1.2,1.2,1.0,1.0,0.8,16.3,9.6,-648,"59,749","74,166",74.4,"3,054.30",18626,21960,Fortnightly,6538.0,21960.0,Weekly,Yes,10717.0
2018-2019,Northern Grampians Shire Council,Rural Area,49.1,2.2,"11,886",43.3,0.4,0.4,0.5,44.2,0.9,3.1,0.5,0.2,1.6,0.9,1.0,0.4,0.5,9.2,5.4,-13,"46,352","50,599",71.9,345.2,5908,5908,Weekly,3500.0,,,,
2019-2020,Northern Grampians Shire Council,Rural Area,49.1,2.2,"11,886",43.3,0.4,0.4,0.5,44.2,0.9,3.1,0.5,0.2,1.6,0.9,1.0,0.4,0.5,9.2,5.4,-13,"46,352","50,599",71.9,345.2,5918,5901,Weekly,2607.0,,,,
2020-2021,Northern Grampians Shire Council,Rural Area,49.1,2.2,"11,886",43.3,0.4,0.4,0.5,44.2,0.9,3.1,0.5,0.2,1.6,0.9,1.0,0.4,0.5,9.2,5.4,-13,"46,352","50,599",71.9,345.2,7173,5920,Weekly,2735.0,,,,
2021-2022,Northern Grampians Shire Council,Rural Area,49.1,2.2,"11,886",43.3,0.4,0.4,0.5,44.2,0.9,3.1,0.5,0.2,1.6,0.9,1.0,0.4,0.5,9.2,5.4,-13,"46,352","50,599",71.9,345.2,6651,4540,Weekly,2796.13,,,,
2022-2023,Northern Grampians Shire Council,Rural Area,49.1,2.2,"11,886",43.3,0.4,0.4,0.5,44.2,0.9,3.1,0.5,0.2,1.6,0.9,1.0,0.4,0.5,9.2,5.4,-13,"46,352","50,599",71.9,345.2,4978,5509,Weekly,2822.83,,,,
2018-2019,Port Phillip City Council,Metropolitan Suburb,38.1,1.9,"103,438",31.7,1.3,2.1,1.7,51.0,2.9,9.5,4.9,1.4,3.2,2.8,2.9,4.0,1.4,32.9,21.1,"-2,412","63,189","83,434",77.1,"7,066.90",70886,39115,Weekly,20700.0,,,,
2019-2020,Port Phillip City Council,Metropolitan Suburb,38.1,1.9,"103,438",31.7,1.3,2.1,1.7,51.0,2.9,9.5,4.9,1.4,3.2,2.8,2.9,4.0,1.4,32.9,21.1,"-2,412","63,189","83,434",77.1,"7,066.90",71749,39252,Weekly,22684.0,,,,
2020-2021,Port Phillip City Council,Metropolitan Suburb,38.1,1.9,"103,438",31.7,1.3,2.1,1.7,51.0,2.9,9.5,4.9,1.4,3.2,2.8,2.9,4.0,1.4,32.9,21.1,"-2,412","63,189","83,434",77.1,"7,066.90",72466,39406,Weekly,21257.0,,,,
2021-2022,Port Phillip City Council,Metropolitan Suburb,38.1,1.9,"103,438",31.7,1.3,2.1,1.7,51.0,2.9,9.5,4.9,1.4,3.2,2.8,2.9,4.0,1.4,32.9,21.1,"-2,412","63,189","83,434",77.1,"7,066.90",66632,36493,Weekly,20319.04,388.0,Fortnightly,Yes,590.22
2022-2023,Port Phillip City Council,Metropolitan Suburb,38.1,1.9,"103,438",31.7,1.3,2.1,1.7,51.0,2.9,9.5,4.9,1.4,3.2,2.8,2.9,4.0,1.4,32.9,21.1,"-2,412","63,189","83,434",77.1,"7,066.90",67987,39549,Weekly,18543.0,16421.0,Weekly,Yes,1031.0
2018-2019,Pyrenees Shire Council,Rural Area,50.3,2.2,"7,619",40.6,0.1,-,0.4,44.0,1.3,5.3,0.9,0.2,0.8,0.1,0.1,0.5,0.3,9.6,2.2,85,"44,955","50,618",69.6,179.3,3657,2777,Weekly,1797.0,1426.0,Monthly,No,240.0
2019-2020,Pyrenees Shire Council,Rural Area,50.3,2.2,"7,619",40.6,0.1,-,0.4,44.0,1.3,5.3,0.9,0.2,0.8,0.1,0.1,0.5,0.3,9.6,2.2,85,"44,955","50,618",69.6,179.3,3885,2836,Weekly,1820.27,1444.0,Monthly,No,25.0
2020-2021,Pyrenees Shire Council,Rural Area,50.3,2.2,"7,619",40.6,0.1,-,0.4,44.0,1.3,5.3,0.9,0.2,0.8,0.1,0.1,0.5,0.3,9.6,2.2,85,"44,955","50,618",69.6,179.3,3969,2803,Weekly,1852.0,1444.0,Monthly,No,25.0
2021-2022,Pyrenees Shire Council,Rural Area,50.3,2.2,"7,619",40.6,0.1,-,0.4,44.0,1.3,5.3,0.9,0.2,0.8,0.1,0.1,0.5,0.3,9.6,2.2,85,"44,955","50,618",69.6,179.3,3116,3727,Fortnightly,1875.0,1700.0,Monthly,Yes,105.0
2022-2023,Pyrenees Shire Council,Rural Area,50.3,2.2,"7,619",40.6,0.1,-,0.4,44.0,1.3,5.3,0.9,0.2,0.8,0.1,0.1,0.5,0.3,9.6,2.2,85,"44,955","50,618",69.6,179.3,2089,3750,Weekly,1102.0,1420.0,4 weeks,No,240.0
2018-2019,Queenscliffe Borough Council,Rural Area,62.6,2.0,"3,236",47.1,0.2,0.5,0.7,42.8,1.3,5.8,1.0,0.2,0.8,0.4,0.4,0.8,0.2,10.7,3.4,70,"48,817","63,098",51.5,132.4,2861,2861,Weekly,1049.0,2861.0,Fortnightly,No,612.0
2019-2020,Queenscliffe Borough Council,Rural Area,62.6,2.0,"3,236",47.1,0.2,0.5,0.7,42.8,1.3,5.8,1.0,0.2,0.8,0.4,0.4,0.8,0.2,10.7,3.4,70,"48,817","63,098",51.5,132.4,2875,2861,Weekly,1184.0,2861.0,Fortnightly,No,709.0
2020-2021,Queenscliffe Borough Council,Rural Area,62.6,2.0,"3,236",47.1,0.2,0.5,0.7,42.8,1.3,5.8,1.0,0.2,0.8,0.4,0.4,0.8,0.2,10.7,3.4,70,"48,817","63,098",51.5,132.4,2867,2867,,1048.44,2861.0,,No,
2021-2022,Queenscliffe Borough Council,Rural Area,62.6,2.0,"3,236",47.1,0.2,0.5,0.7,42.8,1.3,5.8,1.0,0.2,0.8,0.4,0.4,0.8,0.2,10.7,3.4,70,"48,817","63,098",51.5,132.4,2896,2896,Weekly,1034.0,2896.0,Fortnightly,No,823.15
2022-2023,Queenscliffe Borough Council,Rural Area,62.6,2.0,"3,236",47.1,0.2,0.5,0.7,42.8,1.3,5.8,1.0,0.2,0.8,0.4,0.4,0.8,0.2,10.7,3.4,70,"48,817","63,098",51.5,132.4,2821,2888,Fortnightly,743.56,2888.0,Weekly,Yes,1122.05
2018-2019,South Gippsland Shire Council,Rural Area,48.9,2.3,"30,388",38.7,-,0.2,0.5,51.4,1.3,6.3,1.2,0.1,0.8,0.3,0.5,0.5,0.4,11.5,3.9,256,"45,484","53,099",65.0,892.8,15750,11801,Weekly,4224.5,7639.0,Fortnightly,No,2233.2
2019-2020,South Gippsland Shire Council,Rural Area,48.9,2.3,"30,388",38.7,-,0.2,0.5,51.4,1.3,6.3,1.2,0.1,0.8,0.3,0.5,0.5,0.4,11.5,3.9,256,"45,484","53,099",65.0,892.8,14208,12157,Weekly,4395.4,7866.0,Fortnightly,No,2522.2
2020-2021,South Gippsland Shire Council,Rural Area,48.9,2.3,"30,388",38.7,-,0.2,0.5,51.4,1.3,6.3,1.2,0.1,0.8,0.3,0.5,0.5,0.4,11.5,3.9,256,"45,484","53,099",65.0,892.8,14408,12370,Weekly,4628.94,8139.0,Fortnightly,No,2633.64
2021-2022,South Gippsland Shire Council,Rural Area,48.9,2.3,"30,388",38.7,-,0.2,0.5,51.4,1.3,6.3,1.2,0.1,0.8,0.3,0.5,0.5,0.4,11.5,3.9,256,"45,484","53,099",65.0,892.8,14508,11575,Weekly,4657.55,8139.0,Fortnightly,Yes,2685.9
2022-2023,South Gippsland Shire Council,Rural Area,48.9,2.3,"30,388",38.7,-,0.2,0.5,51.4,1.3,6.3,1.2,0.1,0.8,0.3,0.5,0.5,0.4,11.5,3.9,256,"45,484","53,099",65.0,892.8,14754,12825,Weekly,4271.71,8705.0,Fortnightly,No,2711.29
2018-2019,Southern Grampians Shire Council,Rural Area,46.8,2.2,"16,492",50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"45,418","49,690",67.6,502.9,6664,6353,Weekly,2374.0,1272.0,Fortnightly,Yes,505.0
2019-2020,Southern Grampians Shire Council,Rural Area,46.8,2.2,"16,492",50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"45,418","49,690",67.6,502.9,7404,6108,Weekly,2480.0,1136.0,Fortnightly,Yes,619.0
2020-2021,Southern Grampians Shire Council,Rural Area,46.8,2.2,"16,492",50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"45,418","49,690",67.6,502.9,7315,6456,Weekly,2244.74,6267.0,Fortnightly,Yes,2389.0
2021-2022,Southern Grampians Shire Council,Rural Area,46.8,2.2,"16,492",50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"45,418","49,690",67.6,502.9,7374,6610,Fortnightly,2160.0,6373.0,Fortnightly,Yes,2300.0
2022-2023,Southern Grampians Shire Council,Rural Area,46.8,2.2,"16,492",50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"45,418","49,690",67.6,502.9,6468,6336,Weekly,2214.7,6419.0,Fortnightly,Yes,2421.0
2018-2019,Stonnington City Council,Metropolitan Suburb,36.7,2.1,"106,190",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","64,813","90,760",70.3,"8,625.20",57877,57877,Weekly,20650.0,12263.0,Fortnightly,,3309.0
2019-2020,Stonnington City Council,Metropolitan Suburb,36.7,2.1,"106,190",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","64,813","90,760",70.3,"8,625.20",58797,58797,Weekly,20145.0,12688.0,Fortnightly,Yes,4095.0
2020-2021,Stonnington City Council,Metropolitan Suburb,36.7,2.1,"106,190",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","64,813","90,760",70.3,"8,625.20",59835,59835,Weekly,20844.0,13678.0,Fortnightly,Yes,4439.0
2021-2022,Stonnington City Council,Metropolitan Suburb,36.7,2.1,"106,190",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","64,813","90,760",70.3,"8,625.20",60067,60076,Weekly,20722.0,14430.0,Fortnightly,Yes,4749.0
2022-2023,Stonnington City Council,Metropolitan Suburb,36.7,2.1,"106,190",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","64,813","90,760",70.3,"8,625.20",60055,60318,Weekly,20535.0,15500.0,Fortnightly,Yes,4423.16
2018-2019,Strathbogie Shire Council,Rural Area,53.3,2.2,"11,368",46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"47,188","53,352",67.7,308.1,5902,3885,Fortnightly,1003.14,3865.0,Weekly,Yes,1263.1
2019-2020,Strathbogie Shire Council,Rural Area,53.3,2.2,"11,368",46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"47,188","53,352",67.7,308.1,4510,4132,Fortnightly,1077.0,4510.0,Weekly,Yes,1515.0
2020-2021,Strathbogie Shire Council,Rural Area,53.3,2.2,"11,368",46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"47,188","53,352",67.7,308.1,7063,4211,Fortnightly,1130.82,4247.0,Weekly,Yes,1681.32
2021-2022,Strathbogie Shire Council,Rural Area,53.3,2.2,"11,368",46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"47,188","53,352",67.7,308.1,5280,3430,Fortnightly,1164.2,3368.0,Weekly,Yes,1757.0
2022-2023,Strathbogie Shire Council,Rural Area,53.3,2.2,"11,368",46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"47,188","53,352",67.7,308.1,3772,3800,Fortnightly,1124.62,3800.0,Weekly,Yes,1728.97
2018-2019,Surf Coast Shire Council,Rural Area,42.3,2.6,"37,648",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","53,102","66,383",67.5,"1,552.50",17226,17226,Weekly,6489.0,17226.0,Fortnightly,No,3051.0
2019-2020,Surf Coast Shire Council,Rural Area,42.3,2.6,"37,648",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","53,102","66,383",67.5,"1,552.50",17868,17868,Weekly,6641.0,17868.0,Fortnightly,Yes,3806.0
2020-2021,Surf Coast Shire Council,Rural Area,42.3,2.6,"37,648",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","53,102","66,383",67.5,"1,552.50",18275,18275,Fortnightly,6279.0,18275.0,Fortnightly,Yes,5754.0
2021-2022,Surf Coast Shire Council,Rural Area,42.3,2.6,"37,648",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","53,102","66,383",67.5,"1,552.50",18593,18593,Fortnightly,5264.0,18627.0,Weekly,Yes,8434.0
2022-2023,Surf Coast Shire Council,Rural Area,42.3,2.6,"37,648",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","53,102","66,383",67.5,"1,552.50",18551,20492,Fortnightly,4557.0,20492.0,Weekly,Yes,8350.0
2018-2019,Swan Hill Rural City Council,Rural Area,34.9,2.5,"158,689",41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","40,397","45,544",75.1,664,8497,8497,Weekly,3931.72,1042.0,Fortnightly,,336.86
2019-2020,Swan Hill Rural City Council,Rural Area,34.9,2.5,"158,689",41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","40,397","45,544",75.1,664,8758,8544,Weekly,5202.0,1134.0,Fortnightly,,362.0
2020-2021,Swan Hill Rural City Council,Rural Area,34.9,2.5,"158,689",41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","40,397","45,544",75.1,664,8596,8596,Weekly,4715.0,1296.0,Fortnightly,,436.0
2021-2022,Swan Hill Rural City Council,Rural Area,34.9,2.5,"158,689",41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","40,397","45,544",75.1,664,8062,8524,Weekly,4949.0,1474.0,Fortnightly,No,547.0
2022-2023,Swan Hill Rural City Council,Rural Area,34.9,2.5,"158,689",41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","40,397","45,544",75.1,664,7206,8739,Weekly,5392.89,1584.0,Fortnightly,No,614.0
2018-2019,Towong Shire Council,Rural Area,51.8,2.2,"6,186",48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"45,840","52,398",64.4,192.7,4107,3044,Weekly,1900.0,,,,
2019-2020,Towong Shire Council,Rural Area,51.8,2.2,"6,186",48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"45,840","52,398",64.4,192.7,2960,2963,Weekly,1900.0,,,,
2020-2021,Towong Shire Council,Rural Area,51.8,2.2,"6,186",48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"45,840","52,398",64.4,192.7,2740,2740,Weekly,1900.0,,,,
2021-2022,Towong Shire Council,Rural Area,51.8,2.2,"6,186",48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"45,840","52,398",64.4,192.7,1675,2890,Weekly,1212.81,,,,
2022-2023,Towong Shire Council,Rural Area,51.8,2.2,"6,186",48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"45,840","52,398",64.4,192.7,1713,3041,Weekly,1198.0,,,,
2018-2019,Wangaratta Rural City Council,Rural Area,45.3,2.3,"29,751",48.3,0.2,0.6,0.8,42.0,0.8,3.3,1.4,0.1,1.3,0.3,1.0,0.4,0.4,9.0,5.2,192,"49,046","54,466",74.8,915.3,14237,14749,Fortnightly,4718.28,8805.0,Weekly,Yes,3738.46
2019-2020,Wangaratta Rural City Council,Rural Area,45.3,2.3,"29,751",48.3,0.2,0.6,0.8,42.0,0.8,3.3,1.4,0.1,1.3,0.3,1.0,0.4,0.4,9.0,5.2,192,"49,046","54,466",74.8,915.3,13939,13939,Fortnightly,4626.0,8805.0,Weekly,Yes,4177.05
