financial_year_waste,council,population,premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2021-2022,HINDMARSH SHIRE COUNCIL,5798,2551,2366,Weekly,1682,,,,,0.8,50.1,57.3,"46,797","49,409",63.9,193,53,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"2,367",2.2,794,71,"1,499","1,516",2.8
2022-2023,HINDMARSH SHIRE COUNCIL,5518,2507,2777,Weekly,1689.72,,,,,0.8,50.1,57.3,"46,797","49,409",63.9,193,53,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"2,367",2.2,794,71,"1,499","1,516",2.8
2018-2019,HOBSONS BAY CITY COUNCIL,96470,38864,37463,Weekly,19565,26015,Fortnightly,,6702,"1,436.30",39.5,65.5,"62,143","74,537",80.4,"4,077.90",44.6,5.1,2.3,2.2,38.7,2.4,6,7,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","34,663",2.5,"9,118","1,003","24,545","24,972",3
2019-2020,HOBSONS BAY CITY COUNCIL,99014,39059,37866,Fortnightly,19807,37866,Weekly,Yes,11047,"1,436.30",39.5,65.5,"62,143","74,537",80.4,"4,077.90",44.6,5.1,2.3,2.2,38.7,2.4,6,7,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","34,663",2.5,"9,118","1,003","24,545","24,972",3
2020-2021,HOBSONS BAY CITY COUNCIL,100359,40079,39888,Fortnightly,14345,38805,Weekly,Yes,14735,"1,436.30",39.5,65.5,"62,143","74,537",80.4,"4,077.90",44.6,5.1,2.3,2.2,38.7,2.4,6,7,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","34,663",2.5,"9,118","1,003","24,545","24,972",3
2021-2022,HOBSONS BAY CITY COUNCIL,93000,37831,38453,Weekly,15672,38453,Fortnightly,Yes,12999,"1,436.30",39.5,65.5,"62,143","74,537",80.4,"4,077.90",44.6,5.1,2.3,2.2,38.7,2.4,6,7,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","34,663",2.5,"9,118","1,003","24,545","24,972",3
2022-2023,HOBSONS BAY CITY COUNCIL,95561,37318,38447,Weekly,17037.55,38447,Fortnightly,Yes,11284.8,"1,436.30",39.5,65.5,"62,143","74,537",80.4,"4,077.90",44.6,5.1,2.3,2.2,38.7,2.4,6,7,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","34,663",2.5,"9,118","1,003","24,545","24,972",3
2018-2019,HORSHAM RURAL CITY COUNCIL,19880,9264,9264,Weekly,5489.84,,,,,4.8,41.2,60.5,"48,516","52,803",73,706.7,48.4,0.4,0.8,0.5,42.7,0.6,2,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"8,216",2.3,"2,597",226,"5,394","5,463",2.9
2019-2020,HORSHAM RURAL CITY COUNCIL,19880,9341,8966,Weekly,6009.22,,,,,4.8,41.2,60.5,"48,516","52,803",73,706.7,48.4,0.4,0.8,0.5,42.7,0.6,2,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"8,216",2.3,"2,597",226,"5,394","5,463",2.9
2020-2021,HORSHAM RURAL CITY COUNCIL,20018,9434,9034,Weekly,6029.29,,,,,4.8,41.2,60.5,"48,516","52,803",73,706.7,48.4,0.4,0.8,0.5,42.7,0.6,2,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"8,216",2.3,"2,597",226,"5,394","5,463",2.9
2021-2022,HORSHAM RURAL CITY COUNCIL,20429,9585,9150,Weekly,6393,,,,,4.8,41.2,60.5,"48,516","52,803",73,706.7,48.4,0.4,0.8,0.5,42.7,0.6,2,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"8,216",2.3,"2,597",226,"5,394","5,463",2.9
2022-2023,HORSHAM RURAL CITY COUNCIL,20282,9049,9215,Fortnightly,5719.08,7921,Fortnightly,Yes,441.73,4.8,41.2,60.5,"48,516","52,803",73,706.7,48.4,0.4,0.8,0.5,42.7,0.6,2,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"8,216",2.3,"2,597",226,"5,394","5,463",2.9
2018-2019,HUME CITY COUNCIL,224394,77261,77261,Weekly,47386,30433,Fortnightly,,7408,490.1,33.6,66.7,"51,202","57,210",81.6,"6,782.20",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","75,740",3.1,"12,954","1,782","61,006","63,644",3.3
2019-2020,HUME CITY COUNCIL,233471,76930,76770,Weekly,50397,31807,Fortnightly,Yes,10696,490.1,33.6,66.7,"51,202","57,210",81.6,"6,782.20",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","75,740",3.1,"12,954","1,782","61,006","63,644",3.3
2020-2021,HUME CITY COUNCIL,241188,80515,80152,Weekly,54349,35331,Fortnightly,Yes,12630,490.1,33.6,66.7,"51,202","57,210",81.6,"6,782.20",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","75,740",3.1,"12,954","1,782","61,006","63,644",3.3
2021-2022,HUME CITY COUNCIL,244000,89655,80803,Weekly,54552,38296,Fortnightly,Yes,13872,490.1,33.6,66.7,"51,202","57,210",81.6,"6,782.20",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","75,740",3.1,"12,954","1,782","61,006","63,644",3.3
2022-2023,HUME CITY COUNCIL,272087,87094,85380,Weekly,54277.76,42058,Fortnightly,Yes,13347.86,490.1,33.6,66.7,"51,202","57,210",81.6,"6,782.20",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","75,740",3.1,"12,954","1,782","61,006","63,644",3.3
2018-2019,INDIGO SHIRE COUNCIL,15952,7145,7319,Fortnightly,2250.82,5271,Weekly,Yes,2124,8.5,47.5,59.2,"52,000","57,322",73,558.7,42.9,0.1,0.2,0.4,47.7,1.1,5,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"6,615",2.4,"1,725",123,"4,774","4,854",2.8
2019-2020,INDIGO SHIRE COUNCIL,15432,8610,8610,Fortnightly,2055,5085,Weekly,Yes,2442,8.5,47.5,59.2,"52,000","57,322",73,558.7,42.9,0.1,0.2,0.4,47.7,1.1,5,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"6,615",2.4,"1,725",123,"4,774","4,854",2.8
2020-2021,INDIGO SHIRE COUNCIL,15995,8612,8612,Fortnightly,2267,5488,Weekly,Yes,2838,8.5,47.5,59.2,"52,000","57,322",73,558.7,42.9,0.1,0.2,0.4,47.7,1.1,5,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"6,615",2.4,"1,725",123,"4,774","4,854",2.8
2021-2022,INDIGO SHIRE COUNCIL,17000,6540,7786,Fortnightly,2210,5628,Weekly,Yes,3049,8.5,47.5,59.2,"52,000","57,322",73,558.7,42.9,0.1,0.2,0.4,47.7,1.1,5,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"6,615",2.4,"1,725",123,"4,774","4,854",2.8
2022-2023,INDIGO SHIRE COUNCIL,17892,5461,7576,Fortnightly,2285.3,5737,Weekly,Yes,2925.2,8.5,47.5,59.2,"52,000","57,322",73,558.7,42.9,0.1,0.2,0.4,47.7,1.1,5,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"6,615",2.4,"1,725",123,"4,774","4,854",2.8
2018-2019,KINGSTON CITY COUNCIL,164129,64000,63000,Weekly,28765,48000,Fortnightly,,13779,"1,746.30",41.1,64.4,"40,322","44,946",60.7,79.4,45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26,"-2,173","60,940",2.5,"16,388","1,699","42,855","43,676",3
2019-2020,KINGSTON CITY COUNCIL,164129,63638,63638,Weekly,29087,48300,Fortnightly,Yes,16855,"1,746.30",41.1,64.4,"40,322","44,946",60.7,79.4,45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26,"-2,173","60,940",2.5,"16,388","1,699","42,855","43,676",3
2020-2021,KINGSTON CITY COUNCIL,164129,65412,65412,Weekly,27767,50441,Fortnightly,Yes,20068,"1,746.30",41.1,64.4,"40,322","44,946",60.7,79.4,45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26,"-2,173","60,940",2.5,"16,388","1,699","42,855","43,676",3
2021-2022,KINGSTON CITY COUNCIL,160000,54357,63465,Weekly,27845,50089,Fortnightly,Yes,19340,"1,746.30",41.1,64.4,"40,322","44,946",60.7,79.4,45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26,"-2,173","60,940",2.5,"16,388","1,699","42,855","43,676",3
2022-2023,KINGSTON CITY COUNCIL,167243,65140,64016,Weekly,26941,51965,Fortnightly,Yes,18913.74,"1,746.30",41.1,64.4,"40,322","44,946",60.7,79.4,45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26,"-2,173","60,940",2.5,"16,388","1,699","42,855","43,676",3
2018-2019,KNOX CITY COUNCIL,163203,60497,60497,Weekly,28032.42,42132,Fortnightly,,14923,"1,408.80",40.4,65.3,"55,096","63,292",79.9,"5,989.50",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33,28.7,"-2,263","57,422",2.7,"12,185","1,397","43,837","45,145",3
2019-2020,KNOX CITY COUNCIL,164538,61309,61309,Weekly,28515.72,43369,Fortnightly,,18339,"1,408.80",40.4,65.3,"55,096","63,292",79.9,"5,989.50",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33,28.7,"-2,263","57,422",2.7,"12,185","1,397","43,837","45,145",3
2020-2021,KNOX CITY COUNCIL,165147,62873,62873,Weekly,29468,43839,Fortnightly,,18689.46,"1,408.80",40.4,65.3,"55,096","63,292",79.9,"5,989.50",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33,28.7,"-2,263","57,422",2.7,"12,185","1,397","43,837","45,145",3
2021-2022,KNOX CITY COUNCIL,162769,63318,60316,Weekly,29471,44474,Fortnightly,No,17121,"1,408.80",40.4,65.3,"55,096","63,292",79.9,"5,989.50",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33,28.7,"-2,263","57,422",2.7,"12,185","1,397","43,837","45,145",3
2022-2023,KNOX CITY COUNCIL,163923,60781,61004,Weekly,27804.06,44474,Fortnightly,No,17545.48,"1,408.80",40.4,65.3,"55,096","63,292",79.9,"5,989.50",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33,28.7,"-2,263","57,422",2.7,"12,185","1,397","43,837","45,145",3
2018-2019,LATROBE CITY COUNCIL,74000,35919,34831,Weekly,15027,30739,Fortnightly,No,7860,54.1,41.5,61.4,"49,580","55,972",77.6,371.1,40.4,0.8,0.4,0.7,48.1,1.2,5.2,2,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"30,610",2.3,"9,859",833,"19,915","20,265",2.9
2019-2020,LATROBE CITY COUNCIL,74000,35940,35000,Weekly,15756,30952,Fortnightly,No,11037,54.1,41.5,61.4,"49,580","55,972",77.6,371.1,40.4,0.8,0.4,0.7,48.1,1.2,5.2,2,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"30,610",2.3,"9,859",833,"19,915","20,265",2.9
2020-2021,LATROBE CITY COUNCIL,74000,36250,35525,Weekly,16498,31416,Fortnightly,No,10458,54.1,41.5,61.4,"49,580","55,972",77.6,371.1,40.4,0.8,0.4,0.7,48.1,1.2,5.2,2,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"30,610",2.3,"9,859",833,"19,915","20,265",2.9
2021-2022,LATROBE CITY COUNCIL,77086,35837,31529,Weekly,16599,32050,Fortnightly,No,11275,54.1,41.5,61.4,"49,580","55,972",77.6,371.1,40.4,0.8,0.4,0.7,48.1,1.2,5.2,2,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"30,610",2.3,"9,859",833,"19,915","20,265",2.9
2022-2023,LATROBE CITY COUNCIL,78590,35123,31529,Weekly,16276,32050,Fortnightly,No,10163,54.1,41.5,61.4,"49,580","55,972",77.6,371.1,40.4,0.8,0.4,0.7,48.1,1.2,5.2,2,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"30,610",2.3,"9,859",833,"19,915","20,265",2.9
2018-2019,LODDON SHIRE COUNCIL,7516,3425,3414,Weekly,2349,,,,,1.2,52.4,56.3,"42,408","47,279",60.7,194.2,45.8,0.3,0.2,0.5,40.4,1,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"3,049",2.2,"1,022",80,"1,946","1,973",2.8
2019-2020,LODDON SHIRE COUNCIL,7513,4000,3818,Weekly,1600,,,,,1.2,52.4,56.3,"42,408","47,279",60.7,194.2,45.8,0.3,0.2,0.5,40.4,1,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"3,049",2.2,"1,022",80,"1,946","1,973",2.8
2020-2021,LODDON SHIRE COUNCIL,7513,3489,3818,Weekly,1465.532,,,,,1.2,52.4,56.3,"42,408","47,279",60.7,194.2,45.8,0.3,0.2,0.5,40.4,1,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"3,049",2.2,"1,022",80,"1,946","1,973",2.8
2021-2022,LODDON SHIRE COUNCIL,7759,4403,3280,Weekly,1692.9,,,,,1.2,52.4,56.3,"42,408","47,279",60.7,194.2,45.8,0.3,0.2,0.5,40.4,1,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"3,049",2.2,"1,022",80,"1,946","1,973",2.8
2022-2023,LODDON SHIRE COUNCIL,7744,2454,2548,Weekly,1602.8,,,,,1.2,52.4,56.3,"42,408","47,279",60.7,194.2,45.8,0.3,0.2,0.5,40.4,1,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"3,049",2.2,"1,022",80,"1,946","1,973",2.8
2018-2019,MACEDON RANGES SHIRE COUNCIL,49388,19060,19060,Weekly,9222.3,11000,Fortnightly,No,2969,29.5,43,61.1,"58,106","71,721",73.8,"2,122.20",42,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"18,060",2.7,"3,610",302,"14,147","14,419",3
2019-2020,MACEDON RANGES SHIRE COUNCIL,49388,19490,19275,Fortnightly,6600,14425,Weekly,Yes,7200,29.5,43,61.1,"58,106","71,721",73.8,"2,122.20",42,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"18,060",2.7,"3,610",302,"14,147","14,419",3
2020-2021,MACEDON RANGES SHIRE COUNCIL,51851,19088,19088,Fortnightly,7170,14569,Weekly,Yes,8504,29.5,43,61.1,"58,106","71,721",73.8,"2,122.20",42,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"18,060",2.7,"3,610",302,"14,147","14,419",3
2021-2022,MACEDON RANGES SHIRE COUNCIL,51576,21695,20240,Weekly,6360.67,20240,Weekly,Yes,10815.94,29.5,43,61.1,"58,106","71,721",73.8,"2,122.20",42,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"18,060",2.7,"3,610",302,"14,147","14,419",3
2022-2023,MACEDON RANGES SHIRE COUNCIL,53618,19605,19287,Fortnightly,5886,19287,Weekly,Yes,10184,29.5,43,61.1,"58,106","71,721",73.8,"2,122.20",42,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"18,060",2.7,"3,610",302,"14,147","14,419",3
2018-2019,MANNINGHAM CITY COUNCIL,125508,48363,44099,Weekly,19648.52,43422,Fortnightly,No,13859.04,"1,110.00",43.3,61.8,"53,142","69,547",66.9,"5,309.00",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","44,574",2.7,"9,008",888,"34,680","35,767",3
2019-2020,MANNINGHAM CITY COUNCIL,127573,49303,44636,Weekly,20169.54,44009,Fortnightly,No,16873.24,"1,110.00",43.3,61.8,"53,142","69,547",66.9,"5,309.00",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","44,574",2.7,"9,008",888,"34,680","35,767",3
2020-2021,MANNINGHAM CITY COUNCIL,128929,50358,45088,Weekly,21347.18,44673,Fortnightly,No,16255.66,"1,110.00",43.3,61.8,"53,142","69,547",66.9,"5,309.00",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","44,574",2.7,"9,008",888,"34,680","35,767",3
2021-2022,MANNINGHAM CITY COUNCIL,134608,49918,45491,Weekly,21367.88,45900,Fortnightly,No,15147.9,"1,110.00",43.3,61.8,"53,142","69,547",66.9,"5,309.00",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","44,574",2.7,"9,008",888,"34,680","35,767",3
2022-2023,MANNINGHAM CITY COUNCIL,132378,49611,45526,Weekly,20256.8,45526,Fortnightly,No,15303.45,"1,110.00",43.3,61.8,"53,142","69,547",66.9,"5,309.00",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","44,574",2.7,"9,008",888,"34,680","35,767",3
2018-2019,MANSFIELD SHIRE COUNCIL,8979,6228,6228,Weekly,2325.48,,,,,2.6,48.5,56.9,"41,562","50,062",65.1,280.6,40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"3,830",2.3,"1,129",76,"2,623","2,660",2.7
2019-2020,MANSFIELD SHIRE COUNCIL,9176,6546,6616,Weekly,2934.1,,,,,2.6,48.5,56.9,"41,562","50,062",65.1,280.6,40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"3,830",2.3,"1,129",76,"2,623","2,660",2.7
2020-2021,MANSFIELD SHIRE COUNCIL,9474,6671,6667,Weekly,3678.71,,,,,2.6,48.5,56.9,"41,562","50,062",65.1,280.6,40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"3,830",2.3,"1,129",76,"2,623","2,660",2.7
2021-2022,MANSFIELD SHIRE COUNCIL,10112,3944,3944,,2540,,,,,2.6,48.5,56.9,"41,562","50,062",65.1,280.6,40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"3,830",2.3,"1,129",76,"2,623","2,660",2.7
2022-2023,MANSFIELD SHIRE COUNCIL,10748,3950,6890,Weekly,2613.04,,,,,2.6,48.5,56.9,"41,562","50,062",65.1,280.6,40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"3,830",2.3,"1,129",76,"2,623","2,660",2.7
2018-2019,MARIBYRNONG CITY COUNCIL,91387,36790,36123,Weekly,18705,9292,Fortnightly,,1983,"2,766.50",35.3,73.7,"57,084","67,509",84.5,"3,686.10",32.2,4,3.1,8,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38,38.1,"-1,270","33,695",2.4,"9,996","2,490","21,213","21,616",2.9
2019-2020,MARIBYRNONG CITY COUNCIL,95000,36065,36065,Weekly,19054,9000,Fortnightly,Yes,2880,"2,766.50",35.3,73.7,"57,084","67,509",84.5,"3,686.10",32.2,4,3.1,8,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38,38.1,"-1,270","33,695",2.4,"9,996","2,490","21,213","21,616",2.9
2020-2021,MARIBYRNONG CITY COUNCIL,,37512,37542,Weekly,22800,9100,Fortnightly,Yes,3200,"2,766.50",35.3,73.7,"57,084","67,509",84.5,"3,686.10",32.2,4,3.1,8,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38,38.1,"-1,270","33,695",2.4,"9,996","2,490","21,213","21,616",2.9
2021-2022,MARIBYRNONG CITY COUNCIL,85209,36162,36162,Weekly,17880,21870,Fortnightly,Yes,5067,"2,766.50",35.3,73.7,"57,084","67,509",84.5,"3,686.10",32.2,4,3.1,8,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38,38.1,"-1,270","33,695",2.4,"9,996","2,490","21,213","21,616",2.9
2022-2023,MARIBYRNONG CITY COUNCIL,95806,41060,36937,Weekly,16838.35,22140,Fortnightly,Yes,5772.42,"2,766.50",35.3,73.7,"57,084","67,509",84.5,"3,686.10",32.2,4,3.1,8,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38,38.1,"-1,270","33,695",2.4,"9,996","2,490","21,213","21,616",2.9
2018-2019,MAROONDAH CITY COUNCIL,117498,45665,44665,Weekly,20123,45665,Fortnightly,No,12293,"1,890.20",39.4,64.4,"56,712","65,892",79.5,"4,454.30",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5,4.9,3.2,1,1.1,25.2,19.8,"-1,828","43,006",2.6,"10,719","1,106","31,180","31,842",3
2019-2020,MAROONDAH CITY COUNCIL,118558,45903,45903,Weekly,20145,45903,Fortnightly,No,15261,"1,890.20",39.4,64.4,"56,712","65,892",79.5,"4,454.30",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5,4.9,3.2,1,1.1,25.2,19.8,"-1,828","43,006",2.6,"10,719","1,106","31,180","31,842",3
2020-2021,MAROONDAH CITY COUNCIL,119401,45357,44873,Weekly,21006,45247,Fortnightly,No,15848,"1,890.20",39.4,64.4,"56,712","65,892",79.5,"4,454.30",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5,4.9,3.2,1,1.1,25.2,19.8,"-1,828","43,006",2.6,"10,719","1,106","31,180","31,842",3
2021-2022,MAROONDAH CITY COUNCIL,115043,45219,45219,Weekly,20611,45219,Fortnightly,No,14442,"1,890.20",39.4,64.4,"56,712","65,892",79.5,"4,454.30",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5,4.9,3.2,1,1.1,25.2,19.8,"-1,828","43,006",2.6,"10,719","1,106","31,180","31,842",3
2022-2023,MAROONDAH CITY COUNCIL,119063,46054,47363,Weekly,19648,47363,Fortnightly,Yes,15120,"1,890.20",39.4,64.4,"56,712","65,892",79.5,"4,454.30",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5,4.9,3.2,1,1.1,25.2,19.8,"-1,828","43,006",2.6,"10,719","1,106","31,180","31,842",3
2018-2019,MELBOURNE CITY COUNCIL,169961,91022,91022,Weekly,30182.69,,,,,"4,078.00",30.5,86.1,"41,393","61,030",80.4,"7,252.50",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16,8.5,4.4,1.7,54.7,46,-917,"70,760",1.8,"30,524","9,725","30,511","30,685",2.4
2019-2020,MELBOURNE CITY COUNCIL,178955,95560,90945,Weekly,34413.04,,,,,"4,078.00",30.5,86.1,"41,393","61,030",80.4,"7,252.50",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16,8.5,4.4,1.7,54.7,46,-917,"70,760",1.8,"30,524","9,725","30,511","30,685",2.4
2020-2021,MELBOURNE CITY COUNCIL,187000,102065,102065,Weekly,31836.74,8900,Fortnightly,Yes,28.9,"4,078.00",30.5,86.1,"41,393","61,030",80.4,"7,252.50",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16,8.5,4.4,1.7,54.7,46,-917,"70,760",1.8,"30,524","9,725","30,511","30,685",2.4
2021-2022,MELBOURNE CITY COUNCIL,169860,110940,110940,Weekly,29425,23000,Weekly,Yes,1500,"4,078.00",30.5,86.1,"41,393","61,030",80.4,"7,252.50",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16,8.5,4.4,1.7,54.7,46,-917,"70,760",1.8,"30,524","9,725","30,511","30,685",2.4
2022-2023,MELBOURNE CITY COUNCIL,194002,110305,100879,Weekly,29025,23000,Weekly,Yes,1795,"4,078.00",30.5,86.1,"41,393","61,030",80.4,"7,252.50",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16,8.5,4.4,1.7,54.7,46,-917,"70,760",1.8,"30,524","9,725","30,511","30,685",2.4
2018-2019,MELTON CITY COUNCIL,170000,50000,50000,Weekly,30000,38000,Fortnightly,,7000,343.8,33.2,66.6,"55,067","60,783",85.1,"5,314.50",48,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39,"5,248","54,907",3.1,"9,052","1,102","44,745","46,567",3.3
2019-2020,MELTON CITY COUNCIL,164895,57600,57600,Weekly,30252,37765,Fortnightly,,8963,343.8,33.2,66.6,"55,067","60,783",85.1,"5,314.50",48,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39,"5,248","54,907",3.1,"9,052","1,102","44,745","46,567",3.3
2020-2021,MELTON CITY COUNCIL,185471,58253,58254,Weekly,32877,39713,Fortnightly,Yes,11176,343.8,33.2,66.6,"55,067","60,783",85.1,"5,314.50",48,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39,"5,248","54,907",3.1,"9,052","1,102","44,745","46,567",3.3
